candidate,constituency,party,criminal_cases,education,total_assets,liabilities
Harekrishna Maiti,SABANG,SUCI(C),0,Others,3974500,0
Harendra Nath Mahato,PURULIA,Amra Bangalee,0,8th Pass,1215000,0
Haripada Mahato,BANKURA,IND,0,Post Graduate,4300227,0
Haripada Mandal,GOSABA (SC),BSP,1,Others,2675849,90000
Haripada Saren,NAYAGRAM (ST),CPI(M),0,Graduate Professional,1601822,194328
Haru Roy,KATULPUR (SC),BSP,1,Post Graduate,1000,0
Himangshu Das,KHEJURI (SC),CPI(M),24,10th Pass,4201949,0
Hiranmoy Chattopadhyaya,KHARAGPUR SADAR,BJP,2,Graduate,43710836,6093221
Hulu Kshetrapal,BANKURA,Bahujan Mukti Party,0,10th Pass,21031,0
Humayun Kabir,DEBRA,AITC,0,Doctorate,27577829,0
Ibrahim Ali Sk,PANSKURA PURBA,CPI(M),5,Graduate,1114686,0
Indranil Rout,KAKDWIP,INC,0,Graduate,50504500,0
Jagadis Sau,EGRA,SUCI(C),2,Post Graduate,9187410,0
Jagadish Mondal Adhikary,DASPUR,SUCI(C),0,12th Pass,561653,0
Jagannath Bauri,PARA (SC),SUCI(C),0,Graduate,457500,0
Jawahar Lal Mahato,JOYPUR,Mulnibasi Party of India,1,Graduate,465554,40000
Jayanta Khatua,ULUBERIA DAKSHIN,SUCI(C),0,Graduate,668955,955110
Jayanta Naskar,GOSABA (SC),AITC,1,8th Pass,21111705,0
Jaykrishna Haldar,KULTALI (SC),SUCI(C),2,10th Pass,20600,0
Jhantu Maity,KAKDWIP,SUCI(C),0,Post Graduate,3044503,0
Jhareswar Routh,KESHIARY (ST),SUCI(C),0,8th Pass,431695,0
Jhuma Kayal,BISHNUPUR (SC),CPI(M),0,12th Pass,3444472,0
Jiten Giri,GOPIBALLAVPUR,IND,1,5th Pass,36200,0
Jnanananda Roy,TAMLUK,SUCI(C),2,Graduate,8570137,950000
Jogaranjan Halder,KULPI,AITC,0,Graduate Professional,12990857,115643
Joydeb Halder,MANDIRBAZAR (SC),AITC,2,10th Pass,3585560,0
Joydev Naskar,BARUIPUR PURBA (SC),SUCI(C),0,Post Graduate,1768470,0
Julfikar Shaik,FALTA,IND,0,8th Pass,13500,0
June Maliah,MEDINIPUR,AITC,0,12th Pass,34449609,0
Jyotirmoy Kar,KANTHI DAKSHIN,AITC,0,Graduate,11673924,0
Jyotsna Mandi,RANIBANDH (ST),AITC,0,Others,4101144,234000
Kalicharan Beshra,NAYAGRAM (ST),SUCI(C),0,8th Pass,445500,0
Kalipada Mandal,SHYAMPUR,AITC,0,Graduate Professional,8383967,0
Kalipada Naskar,CANNING PURBA,BJP,1,8th Pass,1654671,80000
Kamal Bag,MOYNA,BSP,0,10th Pass,10000,0
Kamal Chandra Dolui,GHATAL (SC),CPI(M),0,Post Graduate,1608530,520000
Kamalakanta Hansda,KASHIPUR,BJP,0,Post Graduate,4502009,1300000
Kamila Bikash,SAGAR,BJP,2,Post Graduate,331589,0
Kanan Bala Mondal,KULTALI (SC),BSP,0,10th Pass,2658785,0
Kanti Ganguly,RAIDIGHI,CPI(M),1,Graduate,3080689,375800
Kar Paik Manika,HALDIA (SC),CPI(M),0,Post Graduate,9526480,1893546
Kartick Mondal,KULTALI (SC),Bahujan Mukti Party,0,Post Graduate,960000,0
Karuna Sankar Bhowmik,NANDAKUMAR,CPI(M),0,10th Pass,2271348,55000
Kishor Kumar Mondal,DIAMOND HARBOUR,IND,0,10th Pass,66500,0
Koushik Das,MAHISHADAL,IND,0,12th Pass,226300,0
Krishna Chandra Bauri,ONDA,IND,0,12th Pass,901318,0
Kshudiram Tudu,RANIBANDH (ST),BJP,0,Graduate Professional,1325600,400000
Kutubuddin Khan,GARBETA,IND,0,5th Pass,22000,52000
Laksmi Kanta Murmu,SALBONI,IND,0,Graduate,15000,0
Latab Uddin Molla,DIAMOND HARBOUR,IND,0,10th Pass,2327000,0
Laxman Hansda,JHARGRAM,Amra Bangalee,0,Graduate,7073,0
Lina Ghosh,BANKURA,SUCI(C),0,Graduate,1386500,0
Lirika Muktar,KANTHI UTTAR,IND,0,12th Pass,3105591,3945078
M. Raquibul Hasan Mallick,FALTA,IND,0,10th Pass,21000,0
Madan Ruidas,GARBETA,BJP,0,10th Pass,76176,50000
Madhuja Sen Roy,JHARGRAM,CPI(M),3,Post Graduate,1138011,0
Madhusudan Bag,ARAMBAG (SC),BJP,1,Post Graduate,4951884,2043796
Madhusudan Singha,JHARGRAM,IND,1,8th Pass,8851446,0
Mahammad Ali Sk,MOYNA,IND,0,10th Pass,1114000,0
Maidul Islam Molla,MAGRAHAT PASCHIM,Rashtriya Secular Majlis Party,7,Graduate,425013,0
Mallika Mahata,KASHIPUR,CPI(M),0,Graduate,3388050,0
Mamata Banerjee,NANDIGRAM,AITC,0,Post Graduate,1672352,0
Mamata Bhunia,DASPUR,AITC,0,10th Pass,596196,0
Manas Kumar Karmahapatra,EGRA,INC,3,Graduate Professional,11818457,798304
Manas Majumdar,GOGHAT (SC),AITC,0,Graduate,1019380,0
Manas Ranjan Bhunia,SABANG,AITC,0,Graduate Professional,73494125,26000
Manas Sardar,PURULIA,BSP,0,8th Pass,0,0
Mangal Chandra Sardar,BINPUR (ST),SHS,0,Graduate,505516,0
Manik Bhaumik,MOYNA,INC,2,Graduate,482837,252000
Manik Chandra Paria,KHARAGPUR,SUCI(C),0,Graduate,761000,0
Manoj Kumar Das,NANDIGRAM,SUCI(C),0,10th Pass,1002000,35000
Manoranjan Patra,TALDANGRA,CPI(M),3,12th Pass,4119000,0
Manturam Pakhira,KAKDWIP,AITC,2,10th Pass,6707089,0
Marphat Ali Khan,NANDAKUMAR,IND,0,Literate,220000,0
Maya Bag,CANNING PASCHIM (SC),IND,0,10th Pass,1212444,400000
Md Lahek Ali,BARUIPUR PASCHIM,CPI(M),0,Post Graduate,560903,118000
Md. Kabirul Islam Khan,SALBONI,Humanity Universal Motion Party,3,Graduate,637000,230000
Meghnath Halder,CANNING PASCHIM (SC),IND,0,Post Graduate,9721848,0
Mihir Bauri,RAGHUNATHPUR (SC),IND,0,12th Pass,1503900,0
Milan Dhum,FALTA,IND,0,8th Pass,5050,0
Milan Mandi,RAIPUR (ST),Rashtriya Secular Majlis Party,5,10th Pass,312000,0
Minakshi Mukherjee,NANDIGRAM,CPI(M),2,Post Graduate,132198,0
Mintu Halder,KULTALI (SC),BJP,2,8th Pass,569600,20000
Mintu Mistri,RAIDIGHI,BSP,0,Graduate,8541415,0
Mithun Mandi,KESHIARY (ST),BSP,0,12th Pass,10139,0
Mohan Chandra Naskar,SATGACHHIA,AITC,0,Graduate,2518517,0
Mohan Santra,KATULPUR (SC),SUCI(C),0,Literate,301000,0
Monarama Halder,DIAMOND HARBOUR,SUCI(C),0,Post Graduate,13000,0
Mongal Naskar,MANDIRBAZAR (SC),RPI(A),0,12th Pass,260500,0
Monika Malik Ghosh,PURSURAH,INC,0,Graduate,2795296,1250023
Monotosh Naskar,JAYNAGAR (SC),Bahujan Mukti Party,0,Graduate Professional,2511000,0
Mrinmay Mandal,KULPI,IND,0,Graduate,3567406,0
Mritunjoy Pandey,PURULIA,IND,1,12th Pass,8451448,50000
Mrityunjoy Murmu,RAIPUR (ST),AITC,0,10th Pass,1018005,0
Mrityunjoy Singh Babu,BAGHMUNDI,SUCI(C),0,Post Graduate,2124000,0
Mukul Mondal,BARUIPUR PASCHIM,IND,0,Doctorate,2386822,0
Munsi Nazbul Karim,KHANAKUL,AITC,9,Graduate,21674345,1976977
Nadiar Chand Bouri,PARA (SC),BJP,0,12th Pass,1689675,650000
Nageswar Mahato,JOYPUR,IND,0,8th Pass,1930000,0
Namita Saha,MAGRAHAT PURBA (SC),AITC,0,Graduate Professional,4286392,0
Nandadulal Bauri,SALTORA (SC),CPI(M),0,Graduate,470077,0
Nara Hari Mahato,JOYPUR,BJP,3,Post Graduate,11727000,200000
Narayan Haldar,PATHARPRATIMA,SUCI(C),0,12th Pass,5017602,0
Narayan Kinkar Mishra,PANSKURA PASCHIM,IND,1,Post Graduate,144615,0
Narayan Naskar,CANNING PASCHIM (SC),SUCI(C),0,Graduate,4686313,0
Narayan Pramanik,HALDIA (SC),SUCI(C),0,12th Pass,711542,0
Narendra Nath Mahata,KASHIPUR,Amra Bangalee,0,Post Graduate,800500,0
Nayan Kumar Shill(Bagdi),INDUS (SC),CPI(M),0,Graduate,51047,22000
Nepal Chandra Mahato,BAGHMUNDI,INC,2,Post Graduate,5097439,419982
Nepal Chandra Mahato,JOYPUR,IND,0,10th Pass,1819640,242757
Niladri Sekhar Dana,BANKURA,BJP,0,12th Pass,19001000,0
Nimai Chandra Mondal,BASANTI (SC),SUCI(C),0,12th Pass,4064000,0
Nirapada Pandit,ULUBERIA UTTAR (SC),IND,0,12th Pass,413773,0
Nirmal (Bablu) Banerjee,ONDA,CPI(ML)(L),0,8th Pass,141262,0
Nirmal Kumar Dhara,INDUS (SC),BJP,0,Post Graduate,1700,0
Nityalal Sing,BINPUR (ST),IND,0,12th Pass,706577,0
Pabitra Halder,MANDIRBAZAR (SC),IND,0,Post Graduate,828300,0
Palan Saren,BINPUR (ST),BJP,2,10th Pass,1050135,670980
Palash Halder,MAGRAHAT PASCHIM,IND,0,8th Pass,175637,93000
Pampa Sarkar Bera,BAGNAN,SUCI(C),0,Graduate,3107070,0
Panchanan Das,KANTHI UTTAR,SUCI(C),1,12th Pass,706650,0
Panchanan Mahanta,JAGATBALLAVPUR,IND,0,12th Pass,3000,0
Pannalal Halder,DIAMOND HARBOUR,AITC,0,Graduate Professional,59450472,0
Papia Dey (Adhikary),ULUBERIA DAKSHIN,BJP,0,Post Graduate,23053825,4471647
Parbati Bhunia,KAKDWIP,BSP,0,8th Pass,440480,0
Parcy Murmu,BANDWAN (ST),BJP,0,12th Pass,1208827,836558
Paresh Chandra Dutta,SALBONI,SUCI(C),0,Post Graduate,1828481,1200000
Paresh Murmu,KESHIARY (ST),AITC,0,Graduate,4010329,0
Paresh Ram Das,CANNING PASCHIM (SC),AITC,9,12th Pass,5656988,1500000
Partha Halder,MANDIRBAZAR (SC),Bahujan Mukti Party,0,Graduate,20500,0
Partha Pratim Banerjeee,PURULIA,INC,0,Graduate,19538621,952289
Partha Pratim Das,KHEJURI (SC),AITC,10,Graduate Professional,6536726,4000000
Pashupati Mahato,BAGHMUNDI,Amra Bangalee,0,Graduate,716000,0
Pashupati Roy,RAGHUNATHPUR (SC),SUCI(C),0,Graduate,392500,0
Patal Chandra Murmu,BINPUR (ST),BSP,0,10th Pass,30000,0
Phajlur Rahaman Sek,MAHISHADAL,IND,0,8th Pass,241250,0
Phanibhushan Kumar,JOYPUR,INC,0,Graduate,5132466,525013
Phiroja Bibi,PANSKURA PASCHIM,AITC,2,8th Pass,2031347,0
Prabir Mishra,KANTHI UTTAR,IND,0,Post Graduate,196200,0
Pradip Mandal,SHYAMPUR,SUCI(C),0,Graduate,1115558,0
Pradip Sarkar,KHARAGPUR SADAR,AITC,0,Graduate,17645938,5500000
Pranab Kumar Mallik,KULPI,BJP,0,Post Graduate,1834722,780000
Prankrishna Mondal,DEBRA,CPI(M),4,Graduate,1112000,0
Prasanta Bera,DASPUR,BJP,0,Graduate,119500,0
Prasanta Kumar Das,GOPIBALLAVPUR,CPI(M),5,10th Pass,10844078,150000
